Date,AirPort,Max TemperatureC,MeanDew PointC,Max Humidity,Max Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Precipitationmm,CloudCover,WindDirDegrees,Rain,Thunderstorm,Fog,Snow,Hail,Tornado,latitude_deg,longitude_deg,elevation_ft,2018,2017,2016,2015,2017GDPPerCapita,Weekday,Weekend,Weekend_approx,Busiest_top5,National_holidays,State_holidays,OtherAirports,M,N,S,W,arrival_avg_WeeksToDeparture,arrival_avg_stdwtd,arrival_avg_output,departure_avg_WeeksToDeparture,departure_avg_stdwtd,departure_avg_output,DistanceToClosestHoliday,Fog_importance,Tornado_Magnitude
2011-09-01,ATL,35,18,79,1022,16,16,11,19,6,0.0,3,129,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
2011-09-02,ATL,36,15,61,1019,16,16,16,24,7,0.0,2,185,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,3,0,0
2011-09-03,ATL,35,16,64,1015,16,16,16,19,7,0.0,4,147,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,2,0,0
2011-09-04,ATL,27,19,93,1014,16,14,4,21,9,6.1,6,139,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,1,0,0
2011-09-05,ATL,26,22,94,1010,16,13,3,32,16,16.0,8,149,1,1,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,1,1,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,0,0,0
2011-09-06,ATL,24,15,90,1011,16,12,4,47,18,1.52,8,212,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,1,0,0
2011-09-07,ATL,21,14,93,1016,16,13,2,23,13,0.1,8,297,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,2,0,0
2011-09-08,ATL,23,13,87,1015,16,16,16,27,15,0.0,5,322,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,3,0,0
2011-09-09,ATL,27,12,93,1015,16,16,16,26,11,0.0,1,302,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
2011-09-10,ATL,29,11,84,1019,16,16,16,21,9,0.0,0,321,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,5,0,0
